file,se_pct,doppler_injecte,doppler_detecte,erreur_doppler_hz,phase_detectee,peak,detected,max_power,mean_power
DANISH_SE/danish_se_00_SE00.0pct.bin,0,3000,3000,0,0,5.83515e+007,1,58351521,60991
DANISH_SE/danish_se_01_SE03.7pct.bin,3.69231,3000,3000,0,0,5.02755e+007,1,50275540,54116
DANISH_SE/danish_se_02_SE07.4pct.bin,7.38462,3000,3000,0,0,4.25294e+007,1,42529408,47881
DANISH_SE/danish_se_03_SE11.1pct.bin,11.0769,3000,3000,0,0,3.51438e+007,1,35143849,42048
DANISH_SE/danish_se_04_SE14.8pct.bin,14.7692,3000,3000,0,0,2.88221e+007,1,28822102,36005
DANISH_SE/danish_se_05_SE18.5pct.bin,18.4615,3000,3000,0,0,2.32487e+007,1,23248686,30967
DANISH_SE/danish_se_06_SE22.2pct.bin,22.1538,3000,3000,0,0,1.84088e+007,1,18408784,27292
DANISH_SE/danish_se_07_SE25.8pct.bin,25.8462,3000,3000,0,0,1.36276e+007,1,13627647,23634
DANISH_SE/danish_se_08_SE29.5pct.bin,29.5385,3000,3000,0,0,9.56466e+006,1,9564656,20532
DANISH_SE/danish_se_09_SE33.2pct.bin,33.2308,3000,3000,0,0,6.62574e+006,1,6625742,17792
DANISH_SE/danish_se_10_SE36.9pct.bin,36.9231,3000,3000,0,0,4.03898e+006,1,4038977,15584
DANISH_SE/danish_se_11_SE40.6pct.bin,40.6154,3000,3000,0,0,2.0584e+006,1,2058397,13459
DANISH_SE/danish_se_12_SE44.3pct.bin,44.3077,3000,3000,0,0,757444,1,757443,12490
DANISH_SE/danish_se_13_SE48.0pct.bin,48,3000,-7250,-10250,312,138064,1,138064,11717
